userName,score,at,content
Pengguna Ponsel,3,2024-09-24 13:40:57,"Alasan Rating: *Tidak ada opsi untuk rute BTK-BIJ *Beberapa rute tidak tersedia, sedangkan rute tersebut sudah ada sebelumnya."
Wakit Setyobudi08,1,2024-09-24 13:38:18,"Aplikasi ny premature, sya upgrade ke premium biar bisa dpet fitur yang lebih baik. Tapi malah ngak ada beda ny. Case ny yaitu, ketika sblm upgrade ke premium, saldo kai pay masih 80rb, ketika mau upgrade tidak ada pemberitahuan potongan saldo. Tpi setelah upgrade, saldo ny hilang 80rb seketika hangus,. Ndak tau mau komplain kemana?"
Novi puspitawati sukoco,1,2024-09-24 13:05:06,"Mau ambil dana tidak bisa diakses sama sekali, ganti sandi susah"
Zainal Abidin Pane,1,2024-09-24 12:55:40,Sering banget eror aps nya cuk
Rizqi Afrizal,1,2024-09-24 11:59:48,Gatel ora guna
Renaldi Varera,1,2024-09-24 10:20:24,"Tolong dong KAI sediakan fitur CS agar mempermudah ketika refund tiket Ini aplikasi BUMN tp tp untuk refund tiket jga susah, lebih mudah aplikasi sebelah"
Sugiarto Pratama Gaozan,1,2024-09-24 08:42:07,"Sudah top up, tapi saldo tetap aja nol... Dak jelas, sudah hub cs dan bukti transaksi juga sudah di kirim tapi dak ada respon. Aplikasi dak jelas"
robi saputra,1,2024-09-24 08:17:00,Bagus sistem lama sekarang makin sulit
Susiyanto Susiyanto,5,2024-09-24 07:10:16,Ok mantapppp ... Lebih mudah dan simple sangat sederhana...
Rio Pradana satriawan,5,2024-09-24 05:11:50,"Aplikasi sudah semakin baik, sebaiknya ditambah fitur yang memungkinkan untuk mengubah alamat email."
Iti Taniti,1,2024-09-24 04:25:15,ERORRRRRRR 10X instal uninstal tetep ga bisa masuk.
Argivaldo Kenzi,4,2024-09-24 03:09:59,Kalau topup agak lama masuknya
Fata Habib,1,2024-09-24 02:18:50,"nik berubah sendiri & gabisa diubah, pas diubah tulisannya idnum already exist"
Dede Setiawan,1,2024-09-23 18:06:09,Gak bisa beli tiket lrt karena gak ada pilihan nya
xazandra,1,2024-09-23 14:01:10,"jelek banget aplikasinya, isi saldo tapi gak masuk saldo ke aplikasi KAI Access dan dari e-banking sudah sukses transfernya. perbaiki sistemnya buat orang rugi saja!"
Sierenna sierenna,3,2024-09-23 10:55:38,"Sblm nya aplikasi in baik2 sja.Mohon bantuanya...stlah aplikasi di update, akun email/no tlf saya malah nggak bs masuk ...smpai skrang blm bs kbuka aplikasinya"
Asep Sulaeman Ishak,1,2024-09-23 09:58:35,"Saya sangat kecewa mau masuk k akun lama gk bisa, bikin akun baru juga gk bisa karena nomor ktp sama nomor hp sudah terdaftar"
Fitri Dina,1,2024-09-23 08:59:36,Boro2 mau pesan tiketliat jadwal aja nggak bisa.
Uun Unayah,3,2024-09-23 08:31:38,"Tadinya mau pake apk ini gak jadi lah, dikira masih yang lama, lihat ulasannya kayak begitu."
Kiki Renita Sari,5,2024-09-23 08:19:45,"Baru saja booking dan ada trouble di sesi pembayaran. Terjadi kesalahan terus tulisannya, sampai email ke KAI. Jadi masuk ke setting hp dulu > aplikasi > access by kai > hapus cache. Voila.. Back to normal. Lancar bayar tiket. Semoga membantu."
Bhanu Nunab,1,2024-09-23 07:25:50,"Bro, gw mau upgrade ke member basic ko gabisa mulu ya, padahal udah ada tulisannya sudah berhasil tapi waktu cek profil ttp sama aja tampilannya belum terdaftar, udh 10 kali gw daftar ulang tetep sama aje, terpaksa beli tiket lewat website kai gw, yah sehat-sehat lah buat yang bikin apk, moga segera diperbaiki"
Egi Devada,1,2024-09-23 07:17:53,Saya sarankan kembalikan versi yang lama saja. Banyak sekali bug di aplikasi ini. Sulit sekali untuk melakukan pembayaran. Bahkan bagi pengguna qris kebingungan untuk mengakses kode qris nya apabila sudah di close
KalaSenja,1,2024-09-23 07:16:25,"Gimana ini gua baru aktivasi kaipay udh di top up juga, trus pas login lagi malah suruh aktivasi lagi mana aplikasinya eror gabisa aktivasi"
ody syach,1,2024-09-23 07:06:09,"Aplikasinya parah, baru topup 50k tiba"" minta aktivasi KAIpay, padahal udah di aktivasi kmana saldo topup yg 50K, kecewa duit 50k ga jelas kmana"
Mohammad iqliya putra,1,2024-09-23 06:55:53,"FITUUUR TOP UP DARI BANK NYAAAA LELEET, YAAANG NIAAT BIKIIIN APK TUUUUUH, UDAH BERTAUN TAUUUN!!!!! BUGNYAA NGGA DI BENER BENERRIN"
Wina,2,2024-09-23 06:46:38,"Secara keseluruan aplikasi ini sudah siap dipakai atau belum ya? Kalo memang belum, coba diskusi dulu di maksimalin dulu. Baru siap luncur. Jangan setengah-setengah."
Widya,1,2024-09-23 06:17:20,Ribet padahal sudah daftar tapi harus daftar ulang lagi..
Luki Rizkya,1,2024-09-23 05:20:21,Pake QR KAI pay tercantum pembayaran berhasil tetapi tiket tidak terbayar bagaimana ini??
Ibnu Taslim,5,2024-09-23 05:02:42,Nice trip.
Siti Zuhriyah,1,2024-09-23 03:50:16,"Daftar kenapa gk bisa, kagak jelas"
Abdul Rohman,1,2024-09-23 03:18:46,"Pingin naek kereta dari solo langsung ke Wates g ada,harus ganti kreta lagi, Masih enak jaman Prameks dulu,bisa dari solo turun Wates tanpa ganti kereta, Terpaksa motoran ae,"
Eddi Purwanto,1,2024-09-23 03:05:00,ini aplikasi kenapa jadi ga bisa dipakai
Mas Aby,1,2024-09-23 02:50:52,"Kai acces semakin menurun, ganti nomer yang hangus ke nomer yang baru nggak bisa, ambil sisa saldo di KaI Pay juga nggak bisa. Hufftttt menyulitkan"
Taufik Ashal,1,2024-09-23 02:40:03,"Sudah jadi member basic, mau login tak bisa, mau daftar katanya sudah terdaftar.. Maunya apa? Tak bisa pesan tiket dong... Aplikasi stupid..."
Selin Msz,3,2024-09-23 00:28:30,"Apa ini setelah saya top up di kaipay malah uang saya tidak bisa d gunakan karena pin yg saya masukan salah terus, kemudian tekan lupa pin tapi di email tidak bisa d akses... Niat mempermudah apa mempersulit... Saya naik kereta itu bayar g gratis"
Dion Avicsa,2,2024-09-22 23:50:05,Bagaimama ini pesannya kok setiap mau pesan kadaluarsa
Khoirun Nisa,1,2024-09-22 23:16:31,Baru nyoba sekali udah kecewa. Karena pilihannya gabisa di klik. Ya gimana mau lanjut administrasi kalo pilihan keretanya gabisa di klik. Trs juga suka ngefrezz gajelas bgt
Arisandi,1,2024-09-22 14:43:51,errrorrr
Sugik Diantoro,1,2024-09-22 14:03:25,Pembayaran tidak dapat qris KTP sering keluar sendiri isi nik selalu g bisa save
Maharadja Alief,1,2024-09-22 13:17:35,"Tiba tiba akun gua keluar sendiri, harus login kembali dah. Terus gua nyoba deh buat masuk / login ke akun lagi, tapi gua lupa sandi nya apa dan akhirnya malah nyoba lebih dari 5x, pas nyoba lagi malah disuruh nunggu 1 jam kocak. GAJELAS ini aplikasi!!!!!"
Galang Satya Pratama,2,2024-09-22 12:25:28,Nyusahin mau refund aja ada kendala
angger download,5,2024-09-22 12:23:51,"Ini pada sambat apaan sih, Perasaan saya pakai Aplikasi ini ga pernah ada kendala, Padahal malah enak pakai Aplikasi, Ga perlu antri di Stasiun🙏"
nur alifa nabila,1,2024-09-22 12:21:16,Baru top up loh tapi riwayat transaksi gak update
Adhitya arbi,1,2024-09-22 12:15:06,"Tiap mau pesen tiket selalu aja keterangannya jadwal tidak di temukan.. Pas pake apk lain ada aja jadwalnya.. Hapus aja aplikasi ini, nambah2in beban negara aja"
Yohanes Kristo,1,2024-09-22 10:18:13,Ternyata sampah
Hamiid Karzai,1,2024-09-22 09:48:05,"Ribet untuk scan tiket aja ampe di bantuin ama petugasnya, kacau lah ni apkny Anak Ti benerin npa ni apk keluh kesahny banyak bnnggty"
Dadan Fadilah,1,2024-09-22 09:46:48,iya orang mesen kereta api ekonomi harus lewat aplikasi akan tetapi aplikasi nya susah di daftarin ke basic gimana mau mesen nya jadi susah
Iwan Amrilla,5,2024-09-22 08:42:31,"Bintang lima tidak ada apa apanya,tapi tolong jelaskan Kenapa ya mau diinstal aja susahnya minta ampun,saya mencoba mengakses ke aplikasi ini karna klo belinya manual suka kehabisan,jadi tolong penjelasannya"
Riris Y Putra,1,2024-09-22 08:29:42,jadwal dan push notification untuk feeder dari stasiun bdg ke padalarang seharusnya diperlukan agar pengguna mengetahui kebijakan keterlambatan sehingga menimalisir kerugian bagi pengguna. Terimakasih project management yg buruk
RUI MUSIC,1,2024-09-22 05:16:33,"Ini aplikasi apaan si dongo, masa stasiun rawa buaya ga masuk g**lok"
Zulfa Aulia,1,2024-09-22 04:37:07,"Aplikasi ga jelas ,lemot, eror mau ganti sandi KAI PAY aja dipersulit, web ga bisa diakses buat ganti, pokoknya gampang eror"
alvi tama,5,2024-09-22 03:28:04,Oke
Angga Rizki,3,2024-09-22 02:47:04,"sedikit kecewa, tiket kereta api lokal sering kali error, tiket ke tujuan di tampilan awal habis tapi ketika pilih transit lalu di lanjutkan lagi tiketnya ada. Saya nggak akan komplain ketika nomor tempat duduk berbeda tpi ini tempat duduk dan gerbong sama di kereta yang sama (nomor kereta) dan tanggal keberangkatannya sama. Mohon untuk ditingkatkan lagi efektivitas aplikasinya. Terima kasih"
Xxxx Fri,1,2024-09-22 02:40:54,Saya mau daptar sendri akun tidak bisa gimana itu solusi nya
Nida Nafisa,1,2024-09-22 01:52:35,"Semakin kesini aplikasinya semakin banyak trouble, kalau kebanyakan ngecek jadwal kereta, bakalan kena time out, kenapa harus ada time out? Kemudian mengecek ""Tiket Saya"" juga jadi susah, padahal jaringan pribadi sudah sangat bagus namun dari aplikasinya berkata ""Ups!! Terjadi Kesalahan Mohon maaf kami mengalami gangguan saat sedang memproses. Silakan coba beberapa saat lagi dan pastikan koneksi internet Anda stabil."" Padahal sudah bayar dan jam keberangkatan sudah mepet, banyak errornya sekaran"
Nubia Mahdi,5,2024-09-22 01:12:32,Sangat berguna
Hilda Octavia,1,2024-09-22 00:52:19,"Saya mau daftar jadi member basic, tpi ko ud saya masukin nomer otp tidak isa dilnjut"
Ahmad Dzul Fauzan,1,2024-09-21 18:39:53,Makin update makin rusak. Masukin pin kaipay notif nya no data found mulu
Admdcu Gate2,1,2024-09-21 18:33:36,"Pelayanan petugas di ka ekonomi sangat mengecewakan, kursi saya di pakai orang lain tapi tidak dibantu untuk mendapatkan hal saya lagi, padahal saya sudah minta tolong petugas. KA. Kahuriapan"
eva puspita,1,2024-09-21 18:16:39,Suka yg versi lama. Yg skrg lemot dan sering gangguan. Seringkali error
Abdul Aziz,1,2024-09-21 17:38:47,"aowkwowk servernya coy, udah error lemot data ga sinkron pas ngecek katanya habis jadi terpaksa pilih yg rekomendasi, eh setelah beli malah nambah seatnya aplikasi ga jelas"
The Zeep.,1,2024-09-21 17:35:51,"Apk gblok , beli server yang memadai biat war tike bloon."
shera,1,2024-09-21 17:34:57,"Sorry ya bodoamat pokok ratting 1 adalah terpantas haruanya minus , aku udah stay nunggu dari jam sebelum 00.00 pas udah jam segitu masuk kai pesen tiket udah masuk in daftar penumpang gabisa dinext terus udah ku coba eh sampek ga bisa order lagi karna udah 15 kali order ,palalu peyang gua ga bisa pesen anjir,pdahal wifi lancar dan udah ku coba pake data yg lancar tetep gabisa gilak lo"
Lely Dina,1,2024-09-21 17:33:42,"eror mulu, heran dah"
Alvina Tarizky,1,2024-09-21 17:32:53,"benerin dulu lah itu aplikasinya, masa tiap beli time out mulu. kalo ga gitu nge bug, giliran pas udh dpt malah abis tiketnya. gjls njir"
Mujizat Algivari,1,2024-09-21 17:25:38,Lebih cepet orang berangkat naik haji dari pada beli tiket di aplikasi gk jelas ini
Muhammad imam,1,2024-09-21 17:23:39,"Aplikasi kurang memadai bangett ceilahhh,udah rela nungguin engga tidur sampai jam 12an malam buat beli tiket malah server down, timeout terus sampai tiket habis kasihan yang sudah nunggu dari tadi kalah sama yang lain,padahal sinyal bagus kurang apa coba?ohh gara²hp android?jadi kalah sama IP yahh?unlike bangett...gmana masyarakat umum pindah ke transportasi umum kalau kek gini....geramm bangett."
Slamet Riadi,4,2024-09-21 17:23:17,Bagus
Scotty.,1,2024-09-21 17:21:13,"Dibelain begadang, time out terus cih"
Sate Ayam,1,2024-09-21 17:20:49,"Server gampang down, sampah"
07-Muchamad Agung W,2,2024-09-21 17:19:04,"server sering down, tolong di perbaiki servernya"
Arek Ayu,1,2024-09-21 17:16:54,Aplikasi lemotnya minta apun tambah i untuk gerbong ka lokal nya
andika ardiansyah,1,2024-09-21 17:16:08,"Sistem opo,setiap pesen tiket weekend mesti eror"
Andri Santoso,1,2024-09-21 17:14:00,"Aplikasi gak jelas, aplikasi rusak, data gak lengkap lah, time out, tau2 tiket abis suuuu !! Sia sia begadang cok ujung2nya dibikin kecewa !!"
Novi distya Ramadhan,2,2024-09-21 17:13:03,sering eror atau time out setelah pemesanan dalam proses pemilihan kursi
Andre Dinggo,1,2024-09-21 17:10:22,aplikasi rusak ditungguin war tiket tengah malem server time out udh masuk 00.00 udh pada sold out
Nadin Auliyah,1,2024-09-21 17:04:56,kalau pesan tiket lemottt
Aditria Nur Arghani,1,2024-09-21 16:15:19,"pelayananya lemot banget qoala, mau refund aja gabisa harus pake rekening lah aku beli pake dana dan belum punya rekening, udah gtu e wallet eror segala emng gajelas instansi segede ini masih banyak kurangnya"
Atep Gusmawan,1,2024-09-21 15:27:32,Jelek login ga masuk2 lupa kata sandi suruh masukin angka di-sms udah dimasukin diulang puluhan kali notvalid aplikasi marai emosi
taufik ramadhan 022,1,2024-09-21 14:43:27,"Kemarin kemarin enak, sekarang kok eror semuanya Mengecewakan"
Hilda Pertiwi,1,2024-09-21 14:40:06,"ini aplikasi parah banget lemot nya astaga , diperbaiki lagi tolong , padahal udh bagus bisa pesen tiket online tapi malah gini"
Ra Fi,1,2024-09-21 14:29:02,Ini aplikasi kekmana sih acces sulit banget
divnan 11,1,2024-09-21 13:31:34,Mau login ke akun yg lama tidak bisa Apakah posisi diluar negri jadi pengaruh mau loginn akunnya Aplikasi transportasi INDONESIA kok kayak gini Gak malu sama negara tetangga?
Muhamad Akbar Arinalhaq,1,2024-09-21 12:06:56,"top up 15 masuknya cuma 13, padahal udaj kena admin 6 ribu. itupun masuknya 20 menitan lebih. jelek"
Egi Degia,1,2024-09-21 11:07:22,Apk gaje ganti pin ga bisa web eror mana buru buru malah ga bisa
Arraniyumillata Hanifah,1,2024-09-21 10:37:29,Beli tiketnya susah bgt Sudah d pembayaran tapi ngk bisa² Astaghfirullah 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️
Tidus d'Cloud,1,2024-09-21 10:23:51,"Sekarang di luar negeri (saya posisi di Jepang) ga bisa buka aplikasinya, sedangkan kalo mau pulang harus reservasi dari jauh jauh hari,how come?"
azat Utg,5,2024-09-21 09:54:10,"saya ingin usul ke pt kai , agar kursi di bagi dua, 3 gerbong kusri berhadapan, 3 gerbong lagi kursi maju semua, karna tidak semua org yg naik kreta bareng² keluarga, kalau kursinya berhadapan otomatis tidak nyaman sama sekali."
Samsul Bahri,1,2024-09-21 09:07:36,Parah banget. Gak bisa bayar via dana
Novnov Kusumah,3,2024-09-21 07:50:06,"Sudah terkonfirmasi telah melakukan pembayaran tetapi masih tetap dianggap belum melakukan pembayaran. Padahal sebelumnya tidak seperti ini, aplikasi di-update bukannya lebih canggih malah membingungkan"
_Bintang 31,1,2024-09-21 07:43:40,Ini kenapa si di up malah ga bisa masuk ke akun sendiri
suriani tan,5,2024-09-21 07:10:32,"saya pengguna aplikasi KAI access daerah SUMUT, pliss dikasih tau keluar pintu lewat yang dimana soalny saya pernah hampir ketinggalan untuk turun, minimal disebutkn dipintu mana gerbong dimana ya, soalny kadang yng turun cuman terkadang satu atau dua orang tidak disebutkan ketika sudah sampai tujuan aplgi aplikasi tracking ny suka errorr, terimakasih ya pak/ibu/kakak/abang"
Robiatul Adawiyah,1,2024-09-21 06:29:02,"Ko bisa si logout sendiri, masuk lagi ga bisa.. mana ini urgent ya tuhan .."
Ahmad Tabrizi,4,2024-09-21 05:36:42,"Sekedar saran saja , mengenai pembayaran jgn hanya ovo dan shopee pay , tambahkan juga Metode DANa"
TRI PRAMONO,1,2024-09-21 05:03:33,aplikasi gk bisa masuk login
Dzilikram Fajar,1,2024-09-21 04:10:34,semakin ribet ya
Indra Maulana,2,2024-09-21 03:22:13,"Pas mau pembayaran error terus, udah dihubungkan dengan akun pembayarannya diulang ulang tetep ga bisa error terus."
Ivan y,1,2024-09-21 02:51:53,"Masa naik kereta wajib punya apk modelan gini. Kasian orang tua2 yg mau naik kereta karna gak paham cara pake apknya. Server juga sering down, ribet banget"
Hsbアアン,1,2024-09-21 02:51:01,"Sudah segini banyaknya yg komplain masih blm juga ditanggapi/diperbaiki, bos ini layanan publik, kalian yg membuat kok gak ada tanggung jawabnya. Banyak pihak yg dirugikan ini...!!!!!"
Onik Muchlis,2,2024-09-21 01:31:44,"Untuk pemesanan tiket masih lumayan, tapi giliran pembatalan maupun ganti jadwal biaya yg dipotong lumayan banyak, giliran nunggu seminggu (menurut peraturan kai per juni 2024) klaim refound uang pembatalan yg seharusnya sudah di proses tiba2 balik lagi ke sedang pengajuan, apk nya error atau gimana ?"
Anjar Rohiman,1,2024-09-21 01:17:08,"Sebenarnya saya sebagai pengguna aplikasi ini sangat kecewa, masa setiap top up, potongannya besar. Top up 20.000 munculnya 17.000. Lamban lagi ,15 menitan baru nongol top upnya, kecewa. Gak bisa dihandalin"
Lintang Sari,1,2024-09-21 01:09:49,"Pengembalian dana sampe seminggu gak belum diproses ,sampe seminggu belum ada pengembalian dana parah"
Kiad Syamsu,4,2024-09-21 00:36:33,Aplikasi lumayan bagus tapi kadang lemot dan keluar akun sendiri
LAMPUNG TREE SUKSES,5,2024-09-21 00:07:50,BAik
Cipta Pranata,3,2024-09-20 23:24:40,Sabtu 21 sept 2024. Pembayaran via va bca ada kendala min. Pas bayar di mbca ada notif no va tidak ditemukan padahal nomornya ud sesuai . Mohon bantu cek ya
September September,5,2024-09-20 23:19:05,Sangat membantu dan sangat mudah
TUMO SUAL,1,2024-09-20 22:34:32,Aplikasi payah minta kode otp di kasih waktu 2 menit tapi ngirimnya setelah waktu habis mau untung kok mempersulit yang beli dasar KAI sampah
Handayani pertiwi,1,2024-09-20 22:23:12,Beli tiket go show via kai access sering error. Payah.
Sujanto CAQ,1,2024-09-20 22:11:30,Kok dia bilang gak ke daftar ya padahal aku punya e tiket nya. Ini aplikasi benar tak ya
Ady Rifangga,4,2024-09-20 21:37:25,"Kalo bisa ada acces dari gopay, ovo, dana, dll. Agar meriah.... terima kasih sangat membantu."
Berbagi Faedah,5,2024-09-20 16:32:50,good
ADS,1,2024-09-20 13:33:01,Suruh memperbaharui data tapi pas di save notifnya nomor & email sudah exsist. Bolak balik gitu mulu gimana mau belinya. Kocagggg
Idhaa Aisyiah,2,2024-09-20 13:29:53,Kenapa setelah diupdate aplikasinya jadi tidak bisa login padahal no telpon selalu aktif tidak pernah ganti ini bagaimana.. mana diakun nya masih ada saldo
Zainli Lukman,1,2024-09-20 12:57:41,Sudah download mau registrasi aja susah. Perbaiki lg dong kai
Sapda Alidena,1,2024-09-20 12:36:38,Ribet banget si
Yeni Yuliani,1,2024-09-20 12:34:10,Ini aplikasi kenapa sihhh Saya udah top up Malah login lg pas udah masuk nomor & kata sandi kenapa gagal. Sampe ganti kata sandi masih gagal. Erorrrrrrrrrrr pas udah top up
Jeni madilei,1,2024-09-20 09:29:00,Aplikasi apa an.mudah nggak.ribet iyah.
Octoviani henny (mauliku),5,2024-09-20 09:06:57,lebih aman naik kereta
Hikkigaya Komachi (8man),1,2024-09-20 08:59:34,"Parah otp nya mampet, gak bisa login"
Joyce Julianty,1,2024-09-20 08:45:59,Ga bisa saya buka ga bisa buka ga bisa setiap hari saya coba tetap ga bisa
Bikuma Labe,1,2024-09-20 07:44:00,"KAI TOLOL,, KAI SISTEMNYA RIBET BNGT. KLO KYK GINI KEENAKAN DI KAI NYA UNTUNG BANYAK. UDH BELI TIKET 2 TP YG BISA CUMA 1,HARUS NYA KALO GK BISA DI KEMBALIIN UANG NYA BISA GANTI NAMA, SYG BNGT KAN KALO KEK GINI. PEMBELI HRSNYA DILAYANI DGN BAIK,BKNNYA DIBIARIN GNI KESANNYA KYK BDMT SM CUSTOMER. Customer Service Jg Gk Guna TOLONG HARAP DI UPGRADE LAGI BIAR LEBIH MUDAH"
andrakcandra,1,2024-09-20 07:41:54,"Dibawah 1 jam g bisa pesen tiket lewat apps oke lah, tapi dibawah 10 menit gak bisa pesan go show parah sih. Case: di jatinegara gak ada loket tiket jarak jauh, plg deket di pasar senen. Di pasar senen under 10-5 menit keberangkatan dilarang beli, alasan naek turun tangga, jaraknya jauh bla bla bla, drpd petugas loket kasih wejangan panjang lebar, mending layanin saja tiket go show saya trus saya lgsng lari ke kereta selesai tuh kekejar kereta. Kecewa berat layanannya 👎"
akmal farad,1,2024-09-20 06:02:05,mau bikin akun OTPnya gak terima2. jadi gak bisa deh.
Satria Pbg,3,2024-09-20 05:28:07,"Lah ini gimana, saya malah ga bisa login di akun KAI. Padahal udah lama pake apk ini"
Erick Fajar,1,2024-09-20 05:22:18,"Banyak kendala dlm penggunaan Apk ini,,, sering terjadi erorr, StuG dan belum lagi masalah"" Yg lain... Benar-benar di luar dr kata Mudah... Yg benar saja GIBLOK"
Amanda Lestari,1,2024-09-20 05:15:24,"disuruh ngelengkapin data diri, tapi eror terus, apalah ini"
Yani Syafitri,1,2024-09-20 03:23:28,"Tolong bapak ibu KAI ini aplikasi harus banget ditingkatin, masa iya masukin kode otp yg udh didpt gk bs² tulisannya OTP not valid. Smpe skrng gk bs buat akun coba... huft... gimana siii"
Dedi Darmadi,5,2024-09-20 03:01:13,Jadi lebih mudah dan praktis
EMAN 5UL43MAN,1,2024-09-20 01:56:57,"mau beli tiket di persulit , mana aplikasi error terus lagi"
AGUNG SOHIDIN,1,2024-09-20 01:50:37,Di aplikasi Masih ada waktu 5 menit buat bayar di anggap hangus. KONYOL !
Ade Ratnasari,5,2024-09-20 01:28:25,"KAI makin di upgrade makin bagus yaa alhamdulillah, dulu saya pake ini tapi di uninstall karna kurang berfungsi. Tapi sekarang makin baik makin banyak fitur-fitur yang mempermudah, thanks developer ❤"
Tirta Agung,1,2024-09-20 00:31:27,"Pengembalian dana yg cukup mengecewakan krna terlalu lama , kintil"
naufal,1,2024-09-20 00:29:33,"sampah, ngebug terus, pendaftaran aja ribet, sekelaa bumn separah ini"
ashafa multazam,1,2024-09-19 23:30:45,"Gaje banget pelayanannya, OTP gk masuk²"
ihsan dede,1,2024-09-19 22:48:17,"Parah banget, beli tiket sudah dibayarkan tapi di aplikasi pembelian gagal? kalau tiketnya gagal kebeli terus uang gue kemanaaa?"
Wibowo Dananto,1,2024-09-19 20:17:14,Parah mau refund kok gagal terus
Bagus Dp,1,2024-09-19 17:48:18,SEKELAS KAI BIKIN APLIKASI KOK ERROR TRUS 👎👎👎👎👎
Elsa Afita Sari,1,2024-09-19 17:36:33,"sering bgt eror, sering juga udh dibayar dimutasi rekening udh berkurang tapi di aplikasi nya statusnya blm kebayar"
Muhammad Subeqi,3,2024-09-19 17:32:41,"Tolong aplikasinya di benahi lagi. Adanya aplikasi itu utk mempermudah, jngan malah mempersulit"
Luthfi Ananta Dzunurain,1,2024-09-19 17:10:41,Apk busuk!!!
Enang Budiyanta,1,2024-09-19 15:56:50,"Aplikasi gak jelas, upgrade kaga bisa tau2 di block"
Arwaty Arwaty,1,2024-09-19 14:43:22,Paraaah
Shintia Anggraeni Agustin,1,2024-09-19 14:23:33,Kenapa sii tiap update harus login terus mana gagal. Hadeuh
Angga Pratama,5,2024-09-19 13:59:39,"Sudah 2x install ulang , terus hapus cache dll tpi ttep tidak bisa akses. Sudah masukin no telf tapi pas mau masukin kode otp nya di apk tidak berubah , ada sudah masuk tpi stasiun nya tidak bisa di pilih , mohon secepatnya di benarkan aplikasi nyaa 🙏"
Seventh Sky,2,2024-09-19 13:50:12,"Astaga, pulsa sudah diisi tp pembayaran direct debit nggak bisa, pembayaran sms mbanking nggak bisa, pulsa berkurang hasil zonk, virtual account hanya satu bank, nggak siap online jangan sok2'an."
Jujun Junaedy,1,2024-09-19 12:29:00,Ngisi kaspro nya setaun baru masuk wkwk
Singgih Kurniawan,1,2024-09-19 12:16:24,"Aplikasi apaan, gagal beli pulsa senilai 147500 sampai 1 bulan lebih belum ke refund saling lempar tanggung jawab dengan kaspro... tidak profesional sekali..."
Lucky Budiman,1,2024-09-19 12:08:51,"Katanya harus beli online, tapi dipersulit! Giliran mau bayar, gagal terus. Tolong diperbaiki dong sistem nya. Jangan mempersulitkan"
Radja Adlan Maulana,1,2024-09-19 11:39:07,Ga bisa upgradè basic
Siti Nurhabibah,1,2024-09-19 11:33:42,Jelek. Susah buat cek KRL Akun terus keluar. Jelek jelek
Ma Mun Nawawi,1,2024-09-19 08:16:13,Payah
Dany Alfian,2,2024-09-19 07:47:40,Susah upgrade basic gk bisa beli tiket
Mifta Hudin,2,2024-09-19 04:58:09,Membantu utk boking tiket fast respon tapi utk penunandaan dan pembatalan sangat sulit loudingnya mhn di benahi.utk kepuasan rakyat
Anas Zulfiqor,1,2024-09-19 04:57:56,"Saya sudah mengajukan pembatalan tiket dan dana nya belum masuk-masuk, padahal dijanjikan akan dikembalikan 7 hari setelah dikonfirmasi, tpi sampe skrng blom di kembalikan, tolong profesional dong, dan apk juga sering bug"
Salome Salolo,1,2024-09-19 03:59:09,Maaf sebelumnya min kok habis di update malah makin berat ya ? Ga kaya sebelumnya
Muhamad Ahlis,1,2024-09-19 00:21:09,Mending pake aplikasi gojek.
Afnan Risyad Shahlavi,1,2024-09-18 23:31:47,"Aplikasi gak jelas, akun tiba-tiba kekunci padahal password baru dan benar"
Rapp,1,2024-09-18 22:39:42,"Untuk pihak KAI, dimohon untuk membenahi aplikasinya lagi dikarenakan saya ingin merefund tiket yang saya pesan tak tidak bisa menggunakan e wallet dengan tulisan data tidak tersedia padahal setiap pembayaran tiket yang saya lakukan selalu menggunakan e wallet, apakah KAI menggunakan aplikasinya sebagai ladang korupsi uang rakyat dengan membiarkan sengaja aplikasi ngebug tidak jelas seperti ini?? Serta peraturan bank account harus pemilik tiket adalah suatu yang konyol. tidak semua memilikinya"
kalijaga clan,1,2024-09-18 20:33:23,"Buat SM G530H/grand prime gk bisa dipakai login!!! Tulisannya failed to request data!!! Pdhl kuota ada, sinyal bagus!!! Tolong perbaiki lagi!!!"
Ansyari Desta Gioriffa,1,2024-09-18 15:31:15,Aplikasi tolol bug
hendra,1,2024-09-18 14:32:35,apk bodoh ini...cari stasiun kota lokal ja sering tidak di temukan...error ..trus ongkos nya pun mahal luarbiasa... tau nya UPS....TIDAK DI TEMUKAN.....BODOH
Ayam Bebek Sego Mie,1,2024-09-18 14:11:39,"kok mesti jengkel ,dengan apk bumn, kacau otp saja gak pernah nyambung , ngapain pakai member kalo sudah daftar om, daftar otp gagal,"
Anak Agung Gede Agung Dharma Putra,5,2024-09-18 13:10:52,Muantafff
apta hafiz,1,2024-09-18 10:42:18,"Kocak kali, pas masuk harus login dulu, pas masukin kata sandi katanya ga bisa, uda ganti kata sandi terus masukin kata sandi yg baru tetap ga bisa, makin pake aplikasi harusnya memudahkan, bukan makin ruwet kocak"
muhammad rico satrio agung (rico),1,2024-09-18 09:24:17,Mau login aja gabisa. Sdm PT. KAI pasti banyak. Masak gabisa menyelesaikan bug
Bimo Nicholas,1,2024-09-18 09:03:19,"Stasiun terbatas, kecewa, mohon segera diupdate, akun punya teman bisa dapat tiket go show, diakun saya gak dapat😝"
Sughara Augustha,5,2024-09-18 08:26:44,Sangat membantu
Nafri Yanto,5,2024-09-18 07:57:52,Bagus terus improve
